"Table 3: Estimated population by sex, five year age group and administrative area, mid-2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,Age group,,,,,,,,,,,,,,,,,,,,Persons
Area code1,Area name,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,Area
S92000003,Scotland,"5,463,300",,"271,715","299,316","294,674","281,958","347,456","382,255","369,463","352,522","319,432","361,458","401,090","393,123","344,693","299,444","278,856","195,951","142,807","83,429","43,658",,Scotland
,Council areas,,,,,,,,,,,,,,,,,,,,,,,Council areas
S12000033,Aberdeen City,"228,670",,"11,716","11,645","10,281","10,386","18,359","22,023","21,291","17,809","14,236","13,918","14,264","14,063","12,522","10,413","9,367","6,470","5,095","3,171","1,641",,Aberdeen City
S12000034,Aberdeenshire,"261,210",,"14,283","15,977","15,847","13,573","12,088","13,205","15,030","16,998","16,887","19,319","20,339","19,422","17,169","15,230","14,221","9,402","6,479","3,747","1,994",,Aberdeenshire
S12000041,Angus,"116,200",,"5,375","6,225","6,276","6,118","5,868","5,982","6,179","6,645","6,312","7,690","8,769","9,039","7,932","7,638","7,601","5,295","3,735","2,257","1,264",,Angus
S12000035,Argyll and Bute,"85,870",,"3,487","4,140","4,379","4,333","4,748","4,125","3,843","4,287","4,450","5,490","6,711","7,096","6,571","6,183","6,116","4,322","3,047","1,719",823,,Argyll & Bute
S12000036,City of Edinburgh,"524,930",,"24,574","26,310","24,002","24,234","44,911","54,751","50,538","41,340","33,850","32,198","32,005","30,626","26,236","22,501","20,381","13,904","11,138","7,233","4,198",,City of Edinburgh
S12000005,Clackmannanshire,"51,540",,"2,618","2,872","2,891","2,775","2,887","2,933","2,894","2,938","3,024","3,681","4,176","3,996","3,394","3,156","2,982","1,974","1,323",667,359,,Clackmannanshire
S12000006,Dumfries and Galloway,"148,860",,"6,356","7,424","7,966","7,174","7,492","7,436","7,485","7,408","7,095","9,345","11,659","12,252","11,198","10,752","10,291","7,625","5,270","3,120","1,512",,Dumfries & Galloway
S12000042,Dundee City,"149,320",,"7,411","7,885","7,380","8,442","13,807","13,973","11,762","9,448","7,545","8,049","9,314","9,709","8,528","6,958","6,841","4,747","3,833","2,424","1,264",,Dundee City
S12000008,East Ayrshire,"122,010",,"6,253","6,830","6,634","6,370","6,745","7,270","7,382","7,164","6,773","8,464","9,767","9,201","8,205","7,358","6,905","4,689","3,298","1,781",921,,East Ayrshire
S12000045,East Dunbartonshire,"108,640",,"5,511","6,363","6,291","5,809","5,687","5,627","5,274","5,829","6,145","7,333","8,189","8,464","7,642","6,528","6,222","4,626","3,747","2,242","1,111",,East Dunbartonshire
S12000010,East Lothian,"107,090",,"5,657","6,407","6,446","5,451","5,468","6,033","5,796","6,292","6,476","7,600","8,349","8,213","7,171","6,032","5,830","4,239","2,939","1,802",889,,East Lothian
S12000011,East Renfrewshire,"95,530",,"5,103","6,572","6,590","5,709","5,113","4,546","4,407","5,287","5,991","6,672","7,157","6,974","6,223","5,134","4,839","3,580","2,839","1,783","1,011",,East Renfrewshire
S12000014,Falkirk,"160,890",,"7,952","9,159","9,307","8,399","8,870","9,594","9,862","10,323","10,310","12,014","12,736","11,852","10,063","8,893","8,299","5,671","4,165","2,269","1,152",,Falkirk
S12000047,Fife,"373,550",,"18,541","21,176","20,882","20,280","23,734","22,437","21,552","21,981","21,414","24,902","28,053","27,226","24,348","21,771","21,460","14,587","10,233","5,779","3,194",,Fife
S12000049,Glasgow City,"633,120",,"33,048","33,195","29,039","31,032","54,112","68,649","61,215","48,988","37,434","37,529","40,883","39,723","33,109","25,205","21,379","15,373","12,005","7,318","3,884",,Glasgow City
S12000017,Highland,"235,830",,"10,939","12,307","13,253","12,082","11,694","12,367","13,249","14,150","13,215","15,730","18,487","18,454","16,815","15,427","14,263","10,121","6,967","4,167","2,143",,Highland
S12000018,Inverclyde,"77,800",,"3,509","4,084","4,169","4,002","4,446","4,635","4,406","4,432","4,177","5,005","6,289","6,590","5,548","4,706","4,257","3,125","2,317","1,357",746,,Inverclyde
S12000019,Midlothian,"92,460",,"5,847","5,857","5,252","4,792","4,752","5,636","6,000","6,280","5,553","6,241","6,638","6,514","5,715","5,099","4,925","3,268","2,281","1,237",573,,Midlothian
S12000020,Moray,"95,820",,"4,426","5,137","5,527","5,156","5,171","5,412","5,663","5,569","5,426","6,715","7,344","7,130","6,428","5,828","5,465","3,953","2,878","1,694",898,,Moray
S12000013,Na h-Eileanan Siar,"26,720",,"1,124","1,342","1,481","1,282","1,108","1,126","1,312","1,382","1,560","1,847","2,127","2,134","2,000","1,904","1,762","1,325",974,574,356,,Na h-Eileanan Siar
S12000021,North Ayrshire,"134,740",,"6,170","7,193","7,675","7,139","7,747","7,542","7,128","6,986","7,014","8,903","10,434","10,567","9,710","8,700","8,483","6,042","3,903","2,255","1,149",,North Ayrshire
S12000050,North Lanarkshire,"341,370",,"18,158","19,905","20,707","19,393","20,589","21,100","21,577","22,876","21,197","23,998","26,770","24,894","21,107","17,976","15,922","11,223","8,010","4,126","1,842",,North Lanarkshire
S12000023,Orkney Islands,"22,270",,986,"1,134","1,249","1,024","1,036","1,191","1,295","1,191","1,206","1,478","1,794","1,773","1,607","1,480","1,394","1,103",721,396,212,,Orkney Islands
S12000048,Perth and Kinross,"151,950",,"6,799","7,841","8,152","7,941","7,432","8,473","8,400","8,986","8,214","9,999","11,797","11,540","10,542","9,875","9,300","6,697","5,048","3,112","1,802",,Perth & Kinross
S12000038,Renfrewshire,"179,100",,"8,891","9,821","9,677","9,315","10,621","12,045","11,803","11,614","10,018","12,028","14,039","13,664","11,677","9,621","8,970","6,347","4,817","2,732","1,400",,Renfrewshire
S12000026,Scottish Borders,"115,510",,"5,307","6,241","6,249","5,805","5,532","5,211","5,283","5,890","5,860","7,956","9,383","9,378","8,799","8,009","7,993","5,472","3,896","2,196","1,050",,Scottish Borders
S12000027,Shetland Islands,"22,920",,"1,189","1,374","1,381","1,196","1,140","1,283","1,398","1,337","1,386","1,621","1,698","1,700","1,531","1,375","1,259",947,607,320,178,,Shetland Islands
S12000028,South Ayrshire,"112,610",,"5,007","5,618","5,862","5,553","5,870","5,628","5,628","5,703","5,725","7,372","8,492","8,994","8,414","7,894","7,671","5,557","4,006","2,320","1,296",,South Ayrshire
S12000029,South Lanarkshire,"320,530",,"16,686","17,842","17,732","16,628","17,561","18,827","18,620","20,427","19,111","22,694","24,813","24,987","21,896","18,572","16,527","11,855","8,455","4,884","2,413",,South Lanarkshire
S12000030,Stirling,"94,210",,"4,195","4,829","5,277","5,795","7,634","6,299","5,493","5,092","5,320","6,326","7,178","6,838","5,670","5,048","4,844","3,577","2,639","1,400",756,,Stirling
S12000039,West Dunbartonshire,"88,930",,"4,549","5,127","5,037","4,579","5,067","5,855","5,688","5,390","4,832","5,749","7,032","7,015","6,279","5,065","4,509","3,047","2,214","1,289",607,,West Dunbartonshire
S12000040,West Lothian,"183,100",,"10,048","11,484","11,783","10,191","10,167","11,041","12,010","12,480","11,676","13,592","14,404","13,095","10,644","9,113","8,578","5,788","3,928","2,058","1,020",,West Lothian
,,,,,,,,,,,,,,,,,,,,,,,,
,NHS Board areas,,,,,,,,,,,,,,,,,,,,,,,NHS Board areas
