"Table 4: Components of population change by administrative area, mid-2018 to mid-2019",,,,,,,,,,,
,,,,,,,,,,,
"Area code1,2",Area name,"Estimated population
30 June 2018",Births,Deaths,Natural change,Estimated net civilian migration3,Other changes4,"Estimated population
30 June 2019",,Population change,
,,,,,,,,,,,
,,,,,,,,,,Number,%
S92000003,Scotland,"5,438,100","50,636","56,209","-5,573","30,200",573,"5,463,300",,"25,200",0.5
,Council areas,,,,,,,,,,
S12000033,Aberdeen City,"227,560","2,345","2,017",328,810,-28,"228,670",,"1,110",0.5
S12000034,Aberdeenshire,"261,470","2,567","2,438",129,-380,-9,"261,210",,-260,-0.1
S12000041,Angus,"116,040",976,"1,343",-367,490,37,"116,200",,160,0.1
S12000035,Argyll and Bute,"86,260",644,"1,074",-430,-70,110,"85,870",,-390,-0.5
S12000036,City of Edinburgh,"518,500","4,760","4,212",548,"5,910",-28,"524,930",,"6,430",1.2
S12000005,Clackmannanshire,"51,400",423,534,-111,150,101,"51,540",,140,0.3
S12000006,Dumfries and Galloway,"148,790","1,149","1,839",-690,730,30,"148,860",,70,0.0
S12000042,Dundee City,"148,750","1,432","1,667",-235,820,-15,"149,320",,570,0.4
S12000008,East Ayrshire,"121,840","1,135","1,452",-317,430,57,"122,010",,170,0.1
S12000045,East Dunbartonshire,"108,330",925,"1,066",-141,420,31,"108,640",,310,0.3
S12000010,East Lothian,"105,790","1,010",985,25,"1,270",5,"107,090",,"1,300",1.2
S12000011,East Renfrewshire,"95,170",854,870,-16,370,6,"95,530",,360,0.4
S12000014,Falkirk,"160,340","1,477","1,703",-226,730,46,"160,890",,550,0.3
S12000047,Fife,"371,910","3,411","4,004",-593,"2,300",-67,"373,550",,"1,640",0.4
S12000049,Glasgow City,"626,410","6,643","6,230",413,"6,270",27,"633,120",,"6,710",1.1
S12000017,Highland,"235,540","1,955","2,599",-644,980,-46,"235,830",,290,0.1
S12000018,Inverclyde,"78,150",661,"1,071",-410,80,-20,"77,800",,-350,-0.4
S12000019,Midlothian,"91,340","1,094",891,203,940,-23,"92,460",,"1,120",1.2
S12000020,Moray,"95,520",814,"1,054",-240,300,240,"95,820",,300,0.3
S12000013,Na h-Eileanan Siar,"26,830",189,341,-152,50,-8,"26,720",,-110,-0.4
S12000021,North Ayrshire,"135,280","1,046","1,669",-623,90,-7,"134,740",,-540,-0.4
S12000050,North Lanarkshire,"340,180","3,454","3,474",-20,"1,220",-10,"341,370",,"1,190",0.3
S12000023,Orkney Islands,"22,190",186,243,-57,150,-13,"22,270",,80,0.4
S12000048,Perth and Kinross,"151,290","1,218","1,623",-405,"1,030",35,"151,950",,660,0.4
S12000038,Renfrewshire,"177,790","1,697","1,914",-217,"1,520",7,"179,100",,"1,310",0.7
S12000026,Scottish Borders,"115,270",936,"1,301",-365,590,15,"115,510",,240,0.2
S12000027,Shetland Islands,"22,990",214,179,35,-90,-15,"22,920",,-70,-0.3
S12000028,South Ayrshire,"112,550",907,"1,397",-490,560,-10,"112,610",,60,0.1
S12000029,South Lanarkshire,"319,020","3,107","3,421",-314,"1,840",-16,"320,530",,"1,510",0.5
S12000030,Stirling,"94,330",746,967,-221,80,21,"94,210",,-120,-0.1
S12000039,West Dunbartonshire,"89,130",890,"1,033",-143,-60,3,"88,930",,-200,-0.2
S12000040,West Lothian,"182,140","1,771","1,598",173,710,77,"183,100",,960,0.5
,,,,,,,,,,,
,NHS Board areas,,,,,,,,,,
S08000015,Ayrshire and Arran,"369,670","3,088","4,518","-1,430","1,090",30,"369,360",,-310,-0.1
S08000016,Borders,"115,270",936,"1,301",-365,590,15,"115,510",,240,0.2
