"Table 7: Age and sex structure of administrative areas, mid-2019",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Persons,,,,,Males,,,,,Females,,,,,
Area code1,Area name,Median age,Under 16,Working age2,Pensionable age 3,,Median age,Under 16,Working age2,Pensionable age 3,,Median age,Under 16,Working age2,Pensionable age 3,,Sex Ratio 4
,,,,,,,,,,,,,,,,,
S92000003,Scotland,42.0,17%,64%,19%,,40.6,18%,65%,17%,,43.4,16%,64%,20%,,0.95
,Council areas,,,,,,,,,,,,,,,,
S12000033,Aberdeen City,37.3,15%,69%,15%,,36.7,16%,70%,14%,,38.0,15%,68%,17%,,0.99
S12000034,Aberdeenshire,44.0,19%,62%,19%,,43.0,19%,63%,18%,,45.1,18%,62%,20%,,0.99
S12000041,Angus,47.1,16%,60%,23%,,45.8,17%,61%,22%,,48.3,16%,59%,25%,,0.95
S12000035,Argyll and Bute,49.7,15%,60%,25%,,47.7,15%,61%,23%,,51.4,15%,58%,27%,,0.99
S12000036,City of Edinburgh,36.5,15%,70%,15%,,36.2,16%,71%,13%,,36.9,14%,69%,16%,,0.95
S12000005,Clackmannanshire,44.9,17%,63%,20%,,43.6,18%,63%,19%,,46.1,17%,62%,21%,,0.97
S12000006,Dumfries and Galloway,49.6,16%,59%,25%,,48.8,16%,59%,24%,,50.4,15%,59%,26%,,0.95
S12000042,Dundee City,37.0,16%,67%,17%,,35.7,17%,67%,15%,,38.3,15%,66%,19%,,0.93
S12000008,East Ayrshire,44.7,17%,63%,20%,,43.4,18%,63%,19%,,45.8,16%,63%,21%,,0.94
S12000045,East Dunbartonshire,46.4,18%,60%,22%,,44.1,19%,61%,20%,,48.1,17%,59%,24%,,0.94
S12000010,East Lothian,44.6,18%,62%,20%,,43.5,20%,62%,18%,,45.7,17%,62%,21%,,0.92
S12000011,East Renfrewshire,43.7,20%,60%,20%,,41.8,22%,60%,18%,,45.3,19%,59%,22%,,0.92
S12000014,Falkirk,43.4,17%,64%,18%,,42.3,18%,65%,17%,,44.5,17%,64%,20%,,0.96
S12000047,Fife,43.8,17%,63%,20%,,42.6,18%,63%,19%,,44.9,16%,62%,21%,,0.94
S12000049,Glasgow City,35.6,16%,71%,13%,,34.7,17%,72%,11%,,36.6,15%,70%,15%,,0.96
S12000017,Highland,46.6,17%,61%,22%,,45.3,17%,62%,21%,,47.8,16%,61%,23%,,0.96
